,Tweet,Date,Like,Retweet,Comment,Output
49,I couldn’t even breath doing this video …I was crushing hard on Set,2022-12-27 03:13:35+00:00,44664,1791,668,Music
50,Ommggg I can’t even get a big shot like this with it,2022-12-26 19:21:42+00:00,6322,245,278,Music
51,@bardiigangz Merry Christmas,2022-12-26 02:00:29+00:00,292,33,14,Music
52,Merry Christmas 🎄🎁🖤 https://t.co/taLuupUE6y,2022-12-26 00:42:15+00:00,99442,4407,1557,Music
53,Wow so sexy,2022-12-24 21:01:06+00:00,6000,273,322,Music
54,I’m sad today and I don’t even know why,2022-12-24 19:14:08+00:00,270804,39388,14819,Music
55,I wanna lick you,2022-12-24 17:20:56+00:00,44523,1898,956,Music
56,Referrals will be went https://t.co/ncDzKE8yxH,2022-12-24 01:21:58+00:00,40919,4920,427,Music
57,Well,2022-12-23 21:57:52+00:00,4910,257,251,Music
58,Christmas shopping got me pulling out my pussy hairs ….Next year I’m doing the shopping in November-__-,2022-12-23 21:40:25+00:00,71976,4824,2067,Music
59,Shirt off shawty https://t.co/wb1sEaTcl6,2022-12-23 16:50:25+00:00,121115,5062,3535,Music
60,Soo many things go through peoples minds during the https://t.co/wIKOknFZ7i KIND ❤️,2022-12-22 14:15:13+00:00,15488,2665,566,Music
61,This looks soooo good,2022-12-22 06:49:08+00:00,5039,257,131,Music
62,Wow you finna be litty,2022-12-22 06:01:20+00:00,3581,165,125,Music
63,THROWBACK https://t.co/AwY1a6GxdF,2022-12-21 23:49:41+00:00,101376,5482,2156,Music
64,Lmaaaaoooooooo,2022-12-21 20:56:08+00:00,2731,188,137,Music
65,😘,2022-12-21 20:55:42+00:00,2299,152,274,Music
66,Cash app me,2022-12-21 20:55:00+00:00,3327,214,332,Music
67,With no make up OR With make up?💄💋 https://t.co/N4WFkg4KXG,2022-12-21 20:40:34+00:00,121077,4201,11260,Music
68,Let’s take a trip https://t.co/kyOq5dBrhK,2022-12-21 17:39:13+00:00,176675,10116,2212,Music
69,Wow ❤️,2022-12-21 01:59:13+00:00,2607,139,117,Music
70,"I’m worth more then that and guess what ? If I don’t save ,work and budget I could lose it too! What makes you think that no matter how much money you got you can’t lose it all if you don’t manage your money correctly.I too have bills,responsibilities and people I have to help.",2022-12-20 22:01:03+00:00,13914,1048,420,Music
71,We going through a recession…..Merry Christmas 🎄,2022-12-20 20:29:14+00:00,75194,6739,2936,Music
72,She was killin me 😩,2022-12-20 06:49:49+00:00,11973,529,195,Music
73,Ommmggg,2022-12-20 06:18:15+00:00,2444,151,79,Music
74,Seeing people buy my product makes me wanna cry….Thank you for supporting WHIPSHOTS!,2022-12-20 06:12:34+00:00,20433,819,556,Music
75,Wow,2022-12-20 06:00:50+00:00,2102,143,78,Music
76,Yaaassss,2022-12-20 05:47:10+00:00,1859,115,93,Music
77,Yaaaasssss,2022-12-20 05:46:50+00:00,1626,100,55,Music
78,Yaaasss let me know,2022-12-20 00:05:36+00:00,2178,154,105,Music
79,@QueenLaCardi @rosalia Love you,2022-12-19 06:57:11+00:00,335,30,22,Music
80,I want a big family,2022-12-19 05:26:28+00:00,105893,12121,4621,Music
81,@Gwaenchana15 The body is giving only thing in going through is these nikkas trying to fuck it,2022-12-18 19:42:31+00:00,650,88,34,Music
82,You be trying too hard not to watch my stories https://t.co/4645S09Rw6,2022-12-17 21:14:40+00:00,84008,6721,2212,Music
83,What kinda show?,2022-12-17 04:34:37+00:00,5530,264,765,Music
84,Buteeeee,2022-12-16 16:02:07+00:00,5170,367,201,Music
85,.@Netflix why y’all end The Crown like that? 😑 x https://t.co/2X0Np2KyCX,2022-12-16 15:29:13+00:00,10767,600,255,Music
86,😂😂😂,2022-12-16 14:07:42+00:00,5067,380,404,Music
87,Despecha RMX ft me out now…. Thank you @rosalia I love that we were able to work together on this !! https://t.co/wgznsBkq4T https://t.co/ipfIjT1tdi,2022-12-16 05:08:11+00:00,14483,1596,422,Music
88,DESPECHA MALDITOOO !!! https://t.co/ou8rtU9g0U,2022-12-15 19:59:11+00:00,41977,2900,718,Music
89,UUUUUUUIIIII BIEN PERRA 🐩,2022-12-15 13:00:04+00:00,19356,1768,392,Music
90,@cardistics It’s not Bg,2022-12-15 12:43:07+00:00,282,37,33,Music
91,No se llenen de odio😜,2022-12-15 12:17:55+00:00,37603,5900,854,Music
92,Tomorrow;),2022-12-14 22:22:32+00:00,25776,1765,1317,Music
93,Awwww I did ask her where the after party at …she was so pretty,2022-12-14 19:19:05+00:00,30303,1434,309,Music
94,OMMMMMGGGGGG !!!!!!,2022-12-14 03:30:37+00:00,14907,433,421,Music
95,@GotDamnZo Lmmmmmaaaaoooooo,2022-12-13 14:41:42+00:00,314,23,14,Music
96,OMMMGGG IN LIVING !!!!!!,2022-12-13 03:12:54+00:00,24111,1176,265,Music
97,MY TREES🎄🌲🎁❤️🧑‍🎄 https://t.co/ZqT95qPXkS,2022-12-12 20:19:50+00:00,18266,1545,603,Music
98,I just don’t love it,2022-12-12 19:12:43+00:00,3146,170,329,Music
99,HERE some scraps since yall STARVING 😫😂😂😫😂😫😫 https://t.co/nBMjBSg4f0,2022-12-12 19:03:40+00:00,29021,2878,1661,Music
100,I just feel like these are things that people think that I want or would say …Like party wit Cardi ? That’s so late for me to say is like me saying okruuuuuuu again …..And Jenny from them block sample it’s like cliche &amp; expected…..Nice try tho,2022-12-12 18:37:35+00:00,3303,288,245,Music
